dataset,scheme,source_run,seed,ari,macro_f1,weighted_f1,hungarian_accuracy,median_bmu_distance,runtime_seconds,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,17,0.8972230549500078,0.672933282283091,0.8840885345361139,0.8564873149906908,2.36412466268206,15.37,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,18,0.8855476702027539,0.6722678003939083,0.8751325127657442,0.8358941568089068,2.36245019716684,15.62,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,19,0.8621260833864004,0.6877894091737172,0.8817687234324286,0.8465386568371166,2.36479130985574,15.86,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,20,0.8958732880064727,0.6701358755750473,0.877842363844357,0.845485490756587,2.36263058489785,16.58,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,21,0.8219638409208601,0.691797048259167,0.8548983348810146,0.8038290109642111,2.35748191972716,16.34,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,22,0.878447511313389,0.6740856895212843,0.8703983987885663,0.8317002990239407,2.36292897210966,15.39,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,23,0.8620552910957036,0.6762263962065681,0.8718164460073851,0.8312113290579806,2.36592657648228,15.37,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,24,0.8874073066477252,0.6725904895690559,0.8764618994449715,0.837342260169635,2.36134293942326,15.28,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,25,0.8793701246699199,0.6746758378825355,0.8771736703389157,0.8374550993925488,2.36610899416326,15.53,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,26,0.8883058420498631,0.6760562067470426,0.8784440257391366,0.8459556541853949,2.3627478589536,15.96,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,27,0.9028122443311312,0.6873655136069309,0.8852248512667076,0.8507137080849303,2.36417515256128,16.0,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,28,0.8864683256264309,0.6829829277772,0.8798664490230605,0.8396554642393697,2.36376384964402,15.8200000000001,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,29,0.9044115330692648,0.7046888367649041,0.8910936982550131,0.8583491621687699,2.36432601799497,15.12,86864,53173,24,40
